specialty,topic,questions,directTableMapped,productionEligibleMapped
knee-sports,acl-tear,115,115,115
trauma,ankle-fractures,98,98,0
shoulder-elbow,rotator-cuff-tears,82,82,0
shoulder-elbow,traumatic-anterior-shoulder-instability-tubs,75,75,0
trauma,acetabular-fractures,74,74,0
trauma,tibial-plateau-fractures,68,68,0
recon,prosthetic-joint-infection,64,64,0
trauma,pelvic-ring-fractures,64,64,0
trauma,femoral-neck-fractures,64,64,0
trauma,tibial-shaft-fractures,63,63,0
trauma,femoral-shaft-fractures,60,60,0
pediatrics,supracondylar-fracture-pediatric,58,58,0
trauma,proximal-humerus-fractures,57,0,0
spine,cervical-myelopathy,53,53,0
foot-ankle,hallux-valgus,52,52,0
foot-ankle,posterior-tibial-tendon-insufficiency-ptti,50,50,0
spine,lumbar-disc-herniation,49,49,0
trauma,calcaneus-fractures,48,48,0
trauma,evaluation-resuscitation-and-dco,48,0,0
basic-science,legal-considerations-in-orthopaedic-practice,48,0,0
trauma,humeral-shaft-fractures,47,47,0
shoulder-elbow,total-shoulder-arthroplasty,47,0,0
pathology,metastatic-disease-extremity,46,0,0
shoulder-elbow,reverse-shoulder-arthroplasty,46,0,0
recon,tha-periprosthetic-fracture,44,0,0
basic-science,statistic-definitions,44,0,0
pediatrics,osteomyelitis-pediatric,43,0,0
foot-ankle,ankle-sprain,43,0,0
trauma,amputations,42,0,0
pediatrics,developmental-dysplasia-the-hip-ddh,42,0,0
trauma,distal-radius-fractures,41,41,0
basic-science,osteopenia-and-osteoporosis,41,0,0
spine,cervical-radiculopathy,40,40,0
trauma,intertrochanteric-fractures,40,40,0
pediatrics,slipped-capital-femoral-epiphysis-scfe,38,0,0
shoulder-elbow,distal-biceps-avulsion,38,0,0
recon,tha-revision,37,0,0
spine,lumbar-spinal-stenosis,36,0,0
recon,tka-prosthesis-design,36,0,0
shoulder-elbow,medial-ulnar-collateral-ligament-injury,36,0,0
pediatrics,pediatric-abuse,35,0,0
foot-ankle,diabetic-foot-ulcers,35,35,0
spine,adolescent-idiopathic-scoliosis,35,35,0
basic-science,orthopaedic-implants,34,0,0
basic-science,rheumatoid-arthritis,34,34,0
basic-science,material-properties,34,0,0
foot-ankle,lisfranc-injury,34,0,0
foot-ankle,hallux-rigidus-mtp-joint-arthritis,34,0,0
pathology,conventional-intramedullary-osteosarcoma,32,32,0
recon,wear-and-osteolysis-basic-science,32,0,0
knee-sports,meniscal-tears,32,0,0
spine,adult-spinal-deformity,32,0,0
pediatrics,femoral-shaft-fractures-pediatric,31,0,0
pediatrics,hip-septic-arthritis-pediatric,30,0,0
knee-sports,patellar-instability,30,30,30
knee-sports,femoroacetabular-impingement-fai,30,0,0
recon,tka-revision,29,0,0
recon,tka-periprosthetic-fracture,28,0,0
pathology,giant-cell-tumor,28,28,0
trauma,talar-neck-fractures,28,28,0
knee-sports,concussions-mild-traumatic-brain-injury,28,0,0
trauma,open-fractures-management,28,0,0
spine,spinal-cord-injuries,27,0,0
basic-science,bone-grafting,27,0,0
trauma,tibial-plafond-fractures,27,27,0
basic-science,fracture-healing,26,0,0
trauma,distal-humerus-fractures,26,26,0
knee-sports,exercise-science,26,0,0
hand,peripheral-nerve-injury-and-repair,26,0,0
shoulder-elbow,posterior-shoulder-instability-and-dislocation,26,0,0
trauma,terrible-triad-injury-elbow,25,0,0
pathology,soft-tissue-sarcoma,25,25,0
spine,degenerative-spondylolisthesis,25,0,0
foot-ankle,achilles-tendon-rupture,25,0,0
spine,ankylosing-spondylitis,25,0,0
recon,tha-dislocation,25,0,0
knee-sports,articular-cartilage-defects-knee,25,0,0
pediatrics,obstetric-brachial-plexopathy-erb-s-klumpke-s-palsy,25,0,0
pediatrics,clubfoot-congenital-talipes-equinovarus,24,0,0
pathology,osteochondroma-and-multiple-hereditary-exostosis,24,0,0
pathology,chondrosarcoma,24,24,0
hand,carpal-tunnel-syndrome,24,0,0
recon,unicompartmental-knee-replacement,24,0,0
trauma,proximal-third-tibia-fracture,24,24,0
spine,odontoid-fracture,24,0,0
shoulder-elbow,suprascapular-neuropathy,23,0,0
trauma,leg-compartment-syndrome,23,23,0
foot-ankle,5th-metatarsal-base-fracture,23,0,0
foot-ankle,peroneal-tendon-tears-and-instability,23,0,0
basic-science,anticoagulation-medications,22,0,0
shoulder-elbow,adhesive-capsulitis-frozen-shoulder,22,0,0
trauma,clavicle-fractures-midshaft,22,0,0
recon,knee-osteoarthritis,22,0,0
hand,fingertip-amputations-and-finger-flaps,21,0,0
pediatrics,tarsal-coalition,21,21,0
pediatrics,distal-femoral-physeal-fractures-pediatric,21,0,0
recon,tha-stability-techniques,21,0,0
foot-ankle,diabetic-charcot-neuropathy,21,0,0
spine,thoracolumbar-burst-fractures,21,0,0
trauma,subtrochanteric-fractures,20,20,0
pathology,metastatic-disease-spine,20,0,0
knee-sports,pcl-injury,20,0,0
basic-science,articular-cartilage,20,0,0
pediatrics,neurofibromatosis,20,0,0
trauma,radial-head-fractures,20,20,0
trauma,knee-dislocation,20,20,0
basic-science,complex-regional-pain-syndrome-crps,19,0,0
trauma,distal-femur-fractures,19,19,0
trauma,radius-and-ulnar-shaft-fractures,19,0,0
pathology,pigmented-villonodular-synovitis,19,0,0
pediatrics,duchenne-muscular-dystrophy,19,0,0
pediatrics,charcot-marie-tooth-disease,18,0,0
hand,flexor-tendon-injuries,18,0,0
spine,pediatric-spondylolysis-and-spondylolisthesis,18,0,0
pathology,unicameral-bone-cyst,18,0,0
pathology,enchondromas,18,0,0
pediatrics,leg-length-discrepancy-lld,18,0,0
basic-science,thromboembolism-pe-and-dvt-prophylaxis,18,0,0
shoulder-elbow,glenohumeral-internal-rotation-deficit-gird,18,0,0
basic-science,ethics-in-orthopaedic-practice,18,0,0
spine,incomplete-spinal-cord-injuries,18,0,0
basic-science,bisphosphonates,18,0,0
knee-sports,osteochondritis-dissecans,18,0,0
pathology,liposarcoma,18,0,0
foot-ankle,ankle-arthrodesis,18,0,0
hand,phalanx-fractures,18,0,0
pathology,paget-s-disease,17,0,0
hand,replantation,17,0,0
recon,tka-sagittal-plane-balancing,17,0,0
recon,tha-sciatic-nerve-palsy,17,0,0
basic-science,antibiotic-classification-and-mechanism,17,0,0
pediatrics,cavovarus-foot-in-pediatrics-and-adults,17,0,0
shoulder-elbow,acromioclavicular-joint-injury,17,0,0
hand,kienbock-s-disease,17,0,0
foot-ankle,ankle-arthritis,17,0,0
hand,scaphoid-fracture,16,0,0
knee-sports,discoid-meniscus,16,0,0
basic-science,bone-cells,16,0,0
recon,tka-patellofemoral-alignment,16,0,0
basic-science,clinical-trial-design,16,0,0
shoulder-elbow,rotator-cuff-arthropathy,16,0,0
spine,intervertebral-disc,16,0,0
pediatrics,medial-epicondylar-fractures-pediatric,16,0,0
pediatrics,achondroplasia,16,0,0
pathology,osteoid-osteoma,16,0,0
spine,adult-isthmic-spondylolisthesis,16,0,0
hand,metacarpal-fractures,16,0,0
pathology,synovial-sarcoma,15,0,0
pediatrics,infantile-blount-s-disease-tibia-vara,15,0,0
pediatrics,osteogenesis-imperfecta,15,0,0
trauma,gun-shot-wounds,15,0,0
shoulder-elbow,slap-lesion,15,0,0
trauma,osteomyelitis-adult,15,0,0
foot-ankle,osteochondral-lesions-the-talus,15,0,0
hand,basilar-thumb-arthritis,15,0,0
shoulder-elbow,total-elbow-arthroplasty,15,0,0
spine,osteoporotic-vertebral-compression-fracture,15,0,0
knee-sports,the-female-athlete,14,0,0
basic-science,rehab-and-prosthetics,14,0,0
pathology,ewing-s-sarcoma,14,0,0
hand,dupuytren-s-disease,14,0,0
trauma,septic-arthritis-adult,14,0,0
