releaseId,entityId,entityLabel,entityType,neighborhoods,linkedQuestionCount,linkedCardCount,questionsWithAtLeastOneSharedCard,questionsWithAtLeastThreeSharedCards,uniqueCardsAvailable,directLinkCoveragePct,minimumLinkConfidence,averageLinkConfidence,linkReviewStatusDistribution,curriculumRetargetedLinkPct
kg-beta-20260716-002,1ad8280b-74e5-416c-b8fb-06c7d9cc0d0a,Patellar Instability,condition,osteochondral-defect-knee|patellar-instability,30,4,30,30,4,100,0.99,0.99,"{""approved"":34}",100
kg-beta-20260716-002,1b49dd16-56bc-4715-afef-84bed49be08e,ACL Tear,condition,acl-tear|multiligament-knee-injury,115,0,0,0,0,0,0.99,0.99,"{""approved"":115}",100
kg-beta-20260716-002,003ee1e7-bc76-4243-9692-900d71f5f638,First Metacarpal,anatomy_structure,bennett-fracture|carpal-tunnel-syndrome|cmc-dislocations|rolando-fracture,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,005f376a-72af-43da-9761-633eb6155ec6,Structures Requiring Release,treatment_principle,surgical-approaches,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,00bb570b-7472-4bf1-8e51-712af203fad6,Medial Compartment Narrowing,imaging_finding,knee-osteoarthritis,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,01153d57-006a-4660-b3d4-3b57a59db2c3,Patella Baja,complication,patella-fracture,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,01649fb1-4e23-4354-9bc6-290fec4011ff,Femoral Condyles,anatomy_structure,acl-tear|complications|knee-osteoarthritis|osteochondral-defect-knee|osteochondral-lesion-talus|patellar-instability|surgical-approaches,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,01807ece-593b-4ae3-80b4-a61c082553f6,Joint Capsule,anatomy_structure,complications,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,01997915-116c-43d8-a6c8-5752a4367f85,Lag Screw,implant,implants-instruments,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,01d07455-5fca-4c09-9c9c-7fcf5726e36b,Sports Shoulder Anatomy Hub,anatomy_structure,ac-joint-separation|anterior-shoulder-instability|osteochondral-lesion-talus|proximal-biceps-tendon-pathology|rotator-cuff-tear|slap-tear,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,02470a37-a249-42e6-a0c5-9ea3b43db887,Common Peroneal Nerve,anatomy_structure,acetabular-fracture|calcaneus-fracture|distal-femur-fracture|femoral-shaft-fracture|lisfranc-injury|multiligament-knee-injury|patella-fracture|pilon-fracture|surgical-approaches|talus-fracture,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,024a5530-b896-4f41-ab63-a7e4fc93da42,Adult Reconstruction Radiographic Measurements,treatment_principle,imaging-radiographic-measurements,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,02f9872c-141e-4c2a-8243-2c8af191add9,Pulseless Supracondylar Hand,imaging_finding,supracondylar-humerus-fracture,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,0337b233-79f0-422e-8e06-510e4f029363,Arthroplasty Implant Concepts Hub,biomechanics_concept,adverse-local-tissue-reaction|aseptic-loosening-tha|aseptic-loosening-tka|bearing-surface-selection|bone-loss-revision-arthroplasty|extensor-mechanism-failure|femoral-neck-fracture-adult-recon|hip-instability-after-tha|hip-prosthetic-joint-infection|implant-fixation-principles|implants-instruments|knee-instability-after-tka|knee-osteoarthritis|knee-prosthetic-joint-infection|patellofemoral-arthroplasty|periprosthetic-femur-fracture|periprosthetic-joint-infection|periprosthetic-knee-fracture|unicompartmental-knee-arthritis,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,036ddc82-96f7-4f0b-9ec9-d63f6fa464be,Knee Instability After TKA,condition,knee-instability-after-tka,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,037a725c-5607-46af-957f-b711d0db517d,CRPS,complication,complications|distal-radius-fracture,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,04649baa-18af-4682-a8bc-08ca8baa514b,Dorsal Distal Radius Approach,surgical_approach,surgical-approaches,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,04c90865-c59f-450c-ab81-431b97673001,Syndesmotic Sprain Physical Exam,exam_maneuver,syndesmotic-sprain,0,0,0,0,0,0,0,0,{},0
kg-beta-20260716-002,0504ddfe-2349-4d23-a55e-6a89f4c53b78,Posterolateral Tibia Approach,surgical_approach,surgical-approaches,0,0,0,0,0,0,0,0,{},0
