deckBranch,canonicalCards,productionEligibleMappedCards,coveragePct
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::05 Forearm::05.11 Muscles,113,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::08 Thigh/Hip::08.10 Muscles,96,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::09 Leg/Knee::09.10 Muscles,72,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::10 Foot/Ankle::10.12 Muscles,68,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::07 Pelvis::07.09 Muscles,62,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::13 Foot & Ankle::13.01 General Anatomy,62,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::06 Hand::06.01 General Anatomy,60,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::02 Spine::02.08 Muscles,50,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::03 Shoulder::03.09 Muscles,49,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::06 Hand::06.12 Muscles,49,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::11 Knee::06.04 Adult Reconstruction::Total Knee Arthroplasty (TKA),46,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::11 Knee::06.01 General Anatomy,45,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::02 Shoulder Girdle::02.01 General Anatomy,40,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::01 Basic Science::01.01 Bones,36,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::04 Elbow::04.01 General Anatomy,36,0,0
Marty McFlyin's Ortho Deck::5) AAOS Res Study::Adult Reconstruction,31,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::01 The Basics::01.02 Infections,30,0,0
Marty McFlyin's Ortho Deck::2) Pocket Pimped::09 Hip::09.04 Reconstruction::Total Hip Arthroplasty (THA),30,0,0
Marty McFlyin's Ortho Deck::1) Netter's Concise Orthopaedic Anatomy::09 Leg/Knee::09.05 Joints,29,0,0
