releaseId,neighborhood,coverageStatus,reviewTier,productionEntityCount,linkedQuestionCount,linkedCardCount,questionsWithAtLeastOneSharedCard,questionsWithAtLeastThreeSharedCards,directLinkCoveragePct,threeCardCoveragePct,averageCandidateCardsPerQuestion,minimumLinkConfidence,averageLinkConfidence,linkReviewStatusDistribution,curriculumRetargetedLinkPct,structuralCandidateScore
kg-beta-20260716-002,patellar-instability,full,automated_beta,12,30,4,30,30,100,100,4,0.99,0.99,"{""approved"":34}",100,62
kg-beta-20260716-002,osteochondral-defect-knee,partial,automated_beta,16,30,4,30,30,100,100,4,0.99,0.99,"{""approved"":34}",100,62
kg-beta-20260716-002,acl-tear,full,automated_beta,12,115,0,0,0,0,0,0,0.99,0.99,"{""approved"":115}",100,25
kg-beta-20260716-002,multiligament-knee-injury,partial,automated_beta,17,115,0,0,0,0,0,0,0.99,0.99,"{""approved"":115}",100,25
kg-beta-20260716-002,acetabular-fracture,full,automated_beta,37,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,achilles-tendon-rupture,full,automated_beta,11,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,calcaneus-fracture,full,automated_beta,27,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,clavicle-fracture,full,automated_beta,27,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,distal-femur-fracture,full,automated_beta,26,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,distal-humerus-fracture,full,automated_beta,12,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,femoral-neck-fracture,full,automated_beta,11,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,femoral-shaft-fracture,full,automated_beta,38,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,humeral-shaft-fracture,full,automated_beta,8,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,intertrochanteric-fracture,full,automated_beta,10,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,lisfranc-injury,full,automated_beta,27,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,pcl-injury,full,automated_beta,11,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,pilon-fracture,full,automated_beta,31,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,proximal-humerus-fracture,full,automated_beta,28,0,0,0,0,0,0,0,0,0,{},0,-20
kg-beta-20260716-002,scaphoid-fracture,full,automated_beta,9,0,0,0,0,0,0,0,0,0,{},0,-20
