review_group_key,raw_specialty_labels,normalized_specialty_slug,normalized_specialty_title,raw_topic_labels,normalized_topic_label,normalized_topic_slug,canonical_topic_node_slug,canonical_topic_node_id,question_count,is_high_frequency_topic,mapping_confidence,review_reason,suggested_action,mapping_method,review_override_reason,representative_question_ids,quality_notes
orthobullets::knee-sports::acl-tear::accepted,Knee & Sports | Sports,knee-sports,Knee & Sports,ACL Tear,ACL Tear,acl-tear,knee-sports-acl-tear,,115,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-174 | OBQ04-19 | OBQ04-212 | OBQ04-240 | OBQ04-246 | OBQ04-258 | OBQ04-56 | OBQ04-9 | OBQ04-91 | OBQ05-174,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::ankle-fractures::accepted,Trauma,trauma,Trauma,Ankle Fractures,Ankle Fractures,ankle-fractures,trauma-ankle-fractures,,98,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-23 | OBQ04-243 | OBQ04-49 | OBQ05-205 | OBQ05-89 | OBQ06-115.1 | OBQ06-140 | OBQ06-250 | OBQ06-28 | OBQ06-85,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::rotator-cuff-tears::accepted,Elbow | Shoulder & Elbow | Shoulder & Elbow Shoulder &,shoulder-elbow,Shoulder & Elbow,Rotator Cuff Tears,Rotator Cuff Tears,rotator-cuff-tears,shoulder-elbow-rotator-cuff-tears,,82,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-241 | OBQ05-217 | OBQ05-237 | OBQ05-36 | OBQ05-71 | OBQ06-181 | OBQ07-10 | OBQ08-172 | OBQ09-212 | OBQ09-273,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::traumatic-anterior-shoulder-instability-tubs::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Traumatic Anterior Shoulder Instability (TUBS),Traumatic Anterior Shoulder Instability (TUBS),traumatic-anterior-shoulder-instability-tubs,shoulder-elbow-traumatic-anterior-shoulder-instability-tubs,,75,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-42 | OBQ06-128 | OBQ06-256 | OBQ06-49 | OBQ06-59 | OBQ07-130 | OBQ07-216 | OBQ07-252 | OBQ07-259 | OBQ07-80,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::acetabular-fractures::accepted,Trauma,trauma,Trauma,Acetabular Fractures,Acetabular Fractures,acetabular-fractures,trauma-acetabular-fractures,,74,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-100 | OBQ04-93 | OBQ05-187 | OBQ05-8 | OBQ06-166 | OBQ06-51 | OBQ07-114 | OBQ07-230 | OBQ07-3 | OBQ07-98,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::tibial-plateau-fractures::accepted,Trauma,trauma,Trauma,Tibial Plateau Fractures,Tibial Plateau Fractures,tibial-plateau-fractures,trauma-tibial-plateau-fractures,,68,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-88 | OBQ05-113 | OBQ05-118 | OBQ05-14 | OBQ06-245 | OBQ08-14 | OBQ08-51 | OBQ08-70 | OBQ09-118 | OBQ09-128,specialty:csv-normalized | topic:source-normalized
orthobullets::recon::prosthetic-joint-infection::accepted,Recon,recon,Recon,Prosthetic Joint Infection,Prosthetic Joint Infection,prosthetic-joint-infection,recon-prosthetic-joint-infection,,64,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-121 | OBQ05-165 | OBQ05-176 | OBQ06-184 | OBQ09-45 | OBQ10-147 | OBQ10-214.1 | OBQ10-54 | OBQ11-195 | OBQ11-46,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::femoral-neck-fractures::accepted,Trauma,trauma,Trauma,Femoral Neck Fractures,Femoral Neck Fractures,femoral-neck-fractures,trauma-femoral-neck-fractures,,64,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-14 | OBQ04-183 | OBQ04-223 | OBQ04-57 | OBQ05-264 | OBQ06-170 | OBQ07-174 | OBQ07-227 | OBQ07-234 | OBQ09-220,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::pelvic-ring-fractures::accepted,Trauma,trauma,Trauma,Pelvic Ring Fractures,Pelvic Ring Fractures,pelvic-ring-fractures,trauma-pelvic-ring-fractures,,64,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-158 | OBQ04-60 | OBQ05-213 | OBQ05-229 | OBQ05-272 | OBQ05-98 | OBQ07-133 | OBQ08-152 | OBQ08-188 | OBQ08-205,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::tibial-shaft-fractures::accepted,Trauma,trauma,Trauma,Tibial Shaft Fractures,Tibial Shaft Fractures,tibial-shaft-fractures,trauma-tibial-shaft-fractures,,63,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-114 | OBQ04-194 | OBQ04-200 | OBQ04-256 | OBQ04-27 | OBQ04-34 | OBQ04-69 | OBQ05-115 | OBQ05-171 | OBQ05-192,specialty:csv-normalized | topic:source-normalized
