external_question_id,specialty_raw,normalized_specialty_slug,normalized_specialty_title,topic_raw,normalized_topic_label,normalized_topic_slug,mapped_specialty_slug,mapped_curriculum_node_slug,canonical_topic_node_id,mapping_confidence,needs_review,review_reason,suggested_action,mapping_method,review_override_reason,review_group_key,row_number
OBQ04-1,Foot & Ankle,foot-ankle,Foot & Ankle,Lisfranc Injury,Lisfranc Injury,lisfranc-injury,foot-ankle,foot-ankle-lisfranc-injury,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::foot-ankle::lisfranc-injury::accepted,2
OBQ04-10,Hand,hand,Hand,Flexor Tendon Injuries,Flexor Tendon Injuries,flexor-tendon-injuries,hand,hand-flexor-tendon-injuries,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::hand::flexor-tendon-injuries::accepted,3
OBQ04-100,Trauma,trauma,Trauma,Acetabular Fractures,Acetabular Fractures,acetabular-fractures,trauma,trauma-acetabular-fractures,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::trauma::acetabular-fractures::accepted,4
OBQ04-101,Spine,spine,Spine,Cauda Equina Syndrome,Cauda Equina Syndrome,cauda-equina-syndrome,spine,spine-cauda-equina-syndrome,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::spine::cauda-equina-syndrome::accepted,5
OBQ04-102,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Scapular Winging,Scapular Winging,scapular-winging,shoulder-elbow,shoulder-elbow-scapular-winging,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::shoulder-elbow::scapular-winging::accepted,6
OBQ04-103,Recon,recon,Recon,TKA Wound Complications,TKA Wound Complications,tka-wound-complications,recon,recon-tka-wound-complications,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::recon::tka-wound-complications::accepted,7
OBQ04-104,Pediatrics,pediatrics,Pediatrics,Diastrophic Dysplasia,Diastrophic Dysplasia,diastrophic-dysplasia,pediatrics,pediatrics-diastrophic-dysplasia,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pediatrics::diastrophic-dysplasia::accepted,8
OBQ04-105,Knee & Sports,knee-sports,Knee & Sports,Posterolateral Corner Injury,Posterolateral Corner Injury,posterolateral-corner-injury,knee-sports,knee-sports-posterolateral-corner-injury,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::knee-sports::posterolateral-corner-injury::accepted,9
OBQ04-106,Pathology,pathology,Pathology,Soft Tissue Sarcoma,Soft Tissue Sarcoma,soft-tissue-sarcoma,pathology,pathology-soft-tissue-sarcoma,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::pathology::soft-tissue-sarcoma::accepted,10
OBQ04-107,Foot & Ankle,foot-ankle,Foot & Ankle,MTP Dislocations,MTP Dislocations,mtp-dislocations,foot-ankle,foot-ankle-mtp-dislocations,,1.000,FALSE,,Auto-accept topic mapping.,import_rule,,orthobullets::foot-ankle::mtp-dislocations::accepted,11
