external_question_id,raw_specialty,normalized_specialty_slug,normalized_specialty_title,raw_topic_label,normalized_topic_label,normalized_topic_slug,canonical_topic_node_slug,canonical_topic_node_id,mapping_confidence,review_reason,suggested_action,review_group_key,source_anomaly_reason,row_number
OBQ04-173,Trauma Pediatrics,,,Talar Neck Fractures Osteogenesis Imperfecta,Talar Neck Fractures Osteogenesis Imperfecta,talar-neck-fractures-osteogenesis-imperfecta,,,0.000,Specialty/topic fields appear merged or truncated.,Review the raw specialty/topic pair before mapping.,orthobullets::source-anomaly::merged-specialty-topic::trauma-pediatrics::talar-neck-fractures-osteogenesis-imperfecta,merged-specialty-topic,76
OBQ04-263,,,,,,,,,0.000,Missing specialty value in source CSV.,Review the row and assign a specialty manually.,orthobullets::source-anomaly::missing-specialty::unknown-specialty::unknown-topic,missing-specialty,168
OBQ07-13,Basic Science Hand,,,Orthopaedic Implants AIN Compressive,Orthopaedic Implants AIN Compressive,orthopaedic-implants-ain-compressive,,,0.000,Specialty/topic fields appear merged or truncated.,Review the raw specialty/topic pair before mapping.,orthobullets::source-anomaly::merged-specialty-topic::basic-science-hand::orthopaedic-implants-ain-compressive,merged-specialty-topic,810
OBQ07-194,,,,,,,,,0.000,Missing specialty value in source CSV.,Review the row and assign a specialty manually.,orthobullets::source-anomaly::missing-specialty::unknown-specialty::unknown-topic,missing-specialty,867
OBQ07-64,,,,Neuropathy,Neuropathy,neuropathy,,,0.000,Missing specialty value in source CSV.,Review the row and assign a specialty manually.,orthobullets::source-anomaly::missing-specialty::unknown-specialty::neuropathy,missing-specialty,991
OBQ11-24,,,,,,,,,0.000,Missing specialty value in source CSV.,Review the row and assign a specialty manually.,orthobullets::source-anomaly::missing-specialty::unknown-specialty::unknown-topic,missing-specialty,1982
OBQ18-17,Recon Recon,,,TKA Patellofemoral Alignment Hip Resurfacing,TKA Patellofemoral Alignment Hip Resurfacing,tka-patellofemoral-alignment-hip-resurfacing,,,0.000,Specialty/topic fields appear merged or truncated.,Review the raw specialty/topic pair before mapping.,orthobullets::source-anomaly::merged-specialty-topic::recon-recon::tka-patellofemoral-alignment-hip-resurfacing,merged-specialty-topic,3596
OBQ18-172,Sports,,,,,,,,0.000,Missing topic value in source CSV.,Review the row and assign a topic manually.,orthobullets::source-anomaly::missing-topic::sports::unknown-topic,missing-topic,3599
OBQ18-92,,,,,,,,,0.000,Missing specialty value in source CSV.,Review the row and assign a specialty manually.,orthobullets::source-anomaly::missing-specialty::unknown-specialty::unknown-topic,missing-specialty,3775
SBQ13PE-81,Pediatrics Basic,,,Sprengel's Deformity Rickets,Sprengel's Deformity Rickets,sprengel-s-deformity-rickets,,,0.000,Specialty/topic fields appear merged or truncated.,Review the raw specialty/topic pair before mapping.,orthobullets::source-anomaly::merged-specialty-topic::pediatrics-basic::sprengels-deformity-rickets,merged-specialty-topic,5669
SBQ13PE-85,Science,,,,,,,,0.000,Missing topic value in source CSV.,Review the row and assign a topic manually.,orthobullets::source-anomaly::missing-topic::science::unknown-topic,missing-topic,5674
SBQ16SM-82,Sports,,,,,,,,0.000,Missing topic value in source CSV.,Review the row and assign a topic manually.,orthobullets::source-anomaly::missing-topic::sports::unknown-topic,missing-topic,5813
SBQ24SE-34,Elbow,,,,,,,,0.000,Missing topic value in source CSV.,Review the row and assign a topic manually.,orthobullets::source-anomaly::missing-topic::elbow::unknown-topic,missing-topic,7200
